prodID;prodDescription;Price1;Price2;productTypeID;unitCost;supplierID;TypeDescription;Buid;supplierID_1;supplierName;supplierAddress1;supplierAddress2;supplierCity;supplierState;supplierZip;supplier_sk
86;Soya Cleaning Supplies           ;406.9;345.9;5;345.9;1;Cleaning Supplies  ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
50;Restarts Paper Supplies          ;524.4;448.3;6;425.9;1;Paper Supplies     ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
91;Scribble Plastic Supplies        ;492.4;405.7;7;397.6;1;Plastic Supplies   ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
98;Barrels Flushing Chemicals       ;135.1;116.6;10;108.4;1;Flushing Chemicals ;C;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
22;Whippers Covers                  ;488.6;410.4;13;389.9;1;Covers             ;D;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
30;Detectives Jacks                 ;283.3;248.5;15;236.1;1;Jacks              ;D;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
77;Vastest Photo Equipment          ;498.1;442.3;1;420.2;2;Photo Equipment    ;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
20;Flake Photo Equipment            ;232.3;204.4;1;194.2;2;Photo Equipment    ;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
65;Extinguisher Manufacturing Equipm;120.4;98.4;2;90.5;2;Manufacturing Equip;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
24;Bandage Manufacturing Equipment  ;298;267;2;253.7;2;Manufacturing Equip;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
48;Patriarchal Cleaning Supplies    ;351.5;284.8;5;264.8;2;Cleaning Supplies  ;B;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
57;South Tray Supplies              ;241.3;205.1;8;203.1;2;Tray Supplies      ;B;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
52;Identical Freezing Chemicals     ;578.1;465.9;11;447.3;2;Freezing Chemicals ;C;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
75;Deferrable Freezing Chemicals    ;145;124.4;11;113.2;2;Freezing Chemicals ;C;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
82;Numerals Covers                  ;102.9;89;13;83.6;2;Covers             ;D;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
71;Simulations Photo Equipment      ;318.4;255.7;1;245.4;3;Photo Equipment    ;A;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
32;Chartable Photo Equipment        ;410.2;347.4;1;312.7;3;Photo Equipment    ;A;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
60;Habitually Manufacturing Equipmen;509.3;419.1;2;394;3;Manufacturing Equip;A;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
70;Escape Manufacturing Equipment   ;584.4;523.6;2;507.9;3;Manufacturing Equip;A;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
81;Palm Polishing Equipment         ;122.4;105.4;3;103.3;3;Polishing Equipment;A;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
96;Drafty Cleaning Supplies         ;107.1;92.7;5;89;3;Cleaning Supplies  ;B;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
97;Stickiest Paper Supplies         ;575.9;502.8;6;467.6;3;Paper Supplies     ;B;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
79;Siena Plastic Supplies           ;155;136.4;7;132.3;3;Plastic Supplies   ;B;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
69;Hits Tray Supplies               ;439.5;359.1;8;341.1;3;Tray Supplies      ;B;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
14;Engle Photo Chemicals            ;429.9;346.1;9;342.6;3;Photo Chemicals    ;C;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
62;Substances Flushing Chemicals    ;507.3;409.9;10;397.6;3;Flushing Chemicals ;C;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
29;Bluest Fillers                   ;507.4;428.2;12;398.2;3;Fillers            ;D;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
2;Tailor Jacks                     ;509.8;429.7;15;399.7;3;Jacks              ;D;3.0;Black Hills Corporation; Edena Gilbert;1618 Greenland Street;Tallahassee;FL;32304.0;3.0
37;Concentrators Polishing Equipment;584.6;524.9;3;482.9;4;Polishing Equipment;A;4.0;Immunex Corporation; Elbert Glad;5841 Pervades Drive;Fairfax;VA;22035.0;7.0
4;Embodying Cleaning Supplies      ;250.9;213.5;5;207.1;4;Cleaning Supplies  ;B;4.0;Immunex Corporation; Elbert Glad;5841 Pervades Drive;Fairfax;VA;22035.0;7.0
78;Measured Photo Chemicals         ;318.1;270.7;9;254.4;4;Photo Chemicals    ;C;4.0;Immunex Corporation; Elbert Glad;5841 Pervades Drive;Fairfax;VA;22035.0;7.0
53;Ruffle Freezing Chemicals        ;476.4;394.9;11;379.1;4;Freezing Chemicals ;C;4.0;Immunex Corporation; Elbert Glad;5841 Pervades Drive;Fairfax;VA;22035.0;7.0
94;Beliefs Freezing Chemicals       ;566.6;483.9;11;454.9;4;Freezing Chemicals ;C;4.0;Immunex Corporation; Elbert Glad;5841 Pervades Drive;Fairfax;VA;22035.0;7.0
85;Disallow Manufacturing Equipment ;165.2;145.9;2;144.4;5;Manufacturing Equip;A;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
34;Sailors Manufacturing Equipment  ;340.5;290.4;2;278.8;5;Manufacturing Equip;A;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
38;Syntax Polishing Equipment       ;226.7;190.9;3;177.5;5;Polishing Equipment;A;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
90;Curiouser Cleaning Supplies      ;419.4;364.4;5;338.9;5;Cleaning Supplies  ;B;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
23;Decided Tray Supplies            ;233.3;202.3;8;198.2;5;Tray Supplies      ;B;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
99;Richards Freezing Chemicals      ;529.4;475.4;11;470.6;5;Freezing Chemicals ;C;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
42;Carelessly Freezing Chemicals    ;559.7;467.9;11;425.8;5;Freezing Chemicals ;C;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
47;Significants Freezing Chemicals  ;141.6;113.2;11;104.2;5;Freezing Chemicals ;C;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
64;Berwick Fillers                  ;583.9;487.5;12;463.1;5;Fillers            ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
74;Flanker Fillers                  ;271.4;236.2;12;219.6;5;Fillers            ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
11;Sulkiness Covers                 ;354.3;289.8;13;272.4;5;Covers             ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
16;Enhanced Covers                  ;461;384.4;13;361.4;5;Covers             ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
76;Scrounge Jacks                   ;301.6;251.2;15;248.7;5;Jacks              ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
45;Slacking Jacks                   ;495;400;15;388;5;Jacks              ;D;5.0;Dollar General Corporation; Antoinette Hickey;3988 Chanced Avenue;S Middleton;PA;17007.0;4.0
61;Courthouses Manufacturing Equipme;285.6;243.6;2;231.4;6;Manufacturing Equip;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
87;Suing Manufacturing Equipment    ;482.2;426.7;2;401.1;6;Manufacturing Equip;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
6;Planetesimal Manufacturing Equipm;347.3;307;2;285.5;6;Manufacturing Equip;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
40;Insensitivity Manufacturing Equip;200.7;180.4;2;169.6;6;Manufacturing Equip;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
44;Birthdays Manufacturing Equipment;196.6;173.2;2;161.1;6;Manufacturing Equip;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
93;Bellowing Polishing Equipment    ;502.6;451.3;3;446.8;6;Polishing Equipment;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
21;Denigrating Polishing Equipment  ;566;454.5;3;427.2;6;Polishing Equipment;A;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
46;Distantly Paper Supplies         ;518.5;436.1;6;418.6;6;Paper Supplies     ;B;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
55;Bumblers Plastic Supplies        ;545.3;466.2;7;447.6;6;Plastic Supplies   ;B;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
33;Consumable Tray Supplies         ;395.7;347.4;8;337;6;Tray Supplies      ;B;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
19;Hesitating Jacks                 ;124.5;100.1;15;96.1;6;Jacks              ;D;6.0;First Bancshares Incorporation; Jensine Lease;11885 Aural Turnpike;Louisville;KY;40253.0;6.0
67;Occlusion Manufacturing Equipment;199.9;177.3;2;164.9;7;Manufacturing Equip;A;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
63;Weeks Polishing Equipment        ;198.8;174.2;3;168.9;7;Polishing Equipment;A;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
68;Loaves Polishing Equipment       ;425.6;361.3;3;354.1;7;Polishing Equipment;A;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
95;Duplicator Polishing Equipment   ;544.3;465.4;3;432.8;7;Polishing Equipment;A;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
84;Unjust Paper Supplies            ;222.5;182.2;6;176.7;7;Paper Supplies     ;B;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
59;Tonnage Plastic Supplies         ;368.8;315.6;7;309.3;7;Plastic Supplies   ;B;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
39;Overlays Plastic Supplies        ;301.1;254.4;7;241.7;7;Plastic Supplies   ;B;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
92;Behind Tray Supplies             ;166.7;139;8;129.3;7;Tray Supplies      ;B;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
54;Honeymoon Photo Chemicals        ;326.1;292.2;9;271.8;7;Photo Chemicals    ;C;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
49;Visage Flushing Chemicals        ;567.8;507.6;10;467;7;Flushing Chemicals ;C;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
9;Millimeters Flushing Chemicals   ;295.6;251.8;10;241.8;7;Flushing Chemicals ;C;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
28;Wonderingly Covers               ;547.2;467.3;13;453.3;7;Covers             ;D;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
43;Blazed Covers                    ;495;416.8;13;404.3;7;Covers             ;D;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
73;Cosgrove Jacks                   ;298.9;267.8;15;254.4;7;Jacks              ;D;7.0;Afg Industries Incorporation; Dorothy Polk;5377 Cookbook Circle;Vero Beach;FL;32967.0;1.0
36;Bomber Photo Equipment           ;461.3;400.4;1;380.4;8;Photo Equipment    ;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
100;Pervasively Manufacturing Equipme;374.1;334.9;2;308.1;8;Manufacturing Equip;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
18;Miniaturizing Manufacturing Equip;456.2;379.6;2;353;8;Manufacturing Equip;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
56;Allis Polishing Equipment        ;201.8;176.3;3;160.5;8;Polishing Equipment;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
1;Enumerator Polishing Equipment   ;165;142.5;3;135.4;8;Polishing Equipment;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
25;Chalmers Polishing Equipment     ;289.2;242.6;3;223.2;8;Polishing Equipment;A;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
17;Optima Cleaning Supplies         ;288.4;255.5;5;242.8;8;Cleaning Supplies  ;B;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
10;Defeated Tray Supplies           ;559.7;476.9;8;448.3;8;Tray Supplies      ;B;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
41;Consideration Tray Supplies      ;172.6;146.8;8;139.5;8;Tray Supplies      ;B;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
12;Travelings Photo Chemicals       ;274.4;242;9;225.1;8;Photo Chemicals    ;C;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
5;Automobiles Fillers              ;283.8;227.6;12;218.5;8;Fillers            ;D;8.0;American General Ventures Incorporation; Kimberly Yarborough;1616 Goggles Drive;Sterling;KS;67579.0;2.0
35;Chromium Photo Equipment         ;565.5;457.5;1;425.5;9;Photo Equipment    ;A;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
8;Septembers Manufacturing Equipmen;584.3;523;2;517.8;9;Manufacturing Equip;A;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
58;Characterization Plastic Supplies;231.7;185.6;7;168.9;9;Plastic Supplies   ;B;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
80;Temporally Plastic Supplies      ;477.5;408.3;7;371.5;9;Plastic Supplies   ;B;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
72;Anthem Tray Supplies             ;134.9;112.4;8;109;9;Tray Supplies      ;B;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
66;Exemplar Freezing Chemicals      ;198.4;160.9;11;152.8;9;Freezing Chemicals ;C;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
7;Commendation Fillers             ;436.3;380;12;364.8;9;Fillers            ;D;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
15;Disposed Fillers                 ;158.8;138;12;132.5;9;Fillers            ;D;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
3;Sortie Covers                    ;248.2;213.2;13;206.8;9;Covers             ;D;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
13;Coward Covers                    ;429.8;349;13;328.1;9;Covers             ;D;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
51;Reflection Lifts                 ;497.9;447.6;14;438.6;9;Lifts              ;D;9.0;Fedders Corporation; Virgil Hubert;7844 Carelessly Drive;Overlook;WA;98366.0;5.0
26;Subclasses Polishing Equipment   ;282.5;239;3;236.6;10;Polishing Equipment;A;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
89;Travel Paper Supplies            ;129.8;108.8;6;103.4;10;Paper Supplies     ;B;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
27;Pinnings Plastic Supplies        ;337.2;302.4;7;287.3;10;Plastic Supplies   ;B;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
88;Vestiges Tray Supplies           ;231.4;192.1;8;186.3;10;Tray Supplies      ;B;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
31;Simplifier Tray Supplies         ;408.8;349.1;8;328.2;10;Tray Supplies      ;B;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
83;Horses Lifts                     ;487.3;402.5;14;366.3;10;Lifts              ;D;10.0;Saurer Gruppe Holding Agency; Pearce Valdez;3727 Elms Drive;South Saint Paul;MN;55077.0;8.0
